STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2022,,29791.041,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2021,,28594.381,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2020,,27776.988,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2019,,27832.497,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2018,,27276.562,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,26750.068,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2016,,26630.321,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2015,,26460.433,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2014,,26036.245,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2013,,25652.046,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2012,,24798.181,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,F,Construction,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2011,,24000.733,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2022,,3969.213,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2021,,3780.917,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2020,,3549.239,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2019,,3789.06,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2018,,3502.761,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,3433.325,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2016,,3311.832,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2015,,3214.876,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2014,,3110.026,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2013,,3055.883,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2012,,2988.772,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,L,Real estate activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2011,,2915.332,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2022,,88345.552,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2021,,81147.232,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2020,,78160.62,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2019,,82503.872,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2018,,80098.461,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,78802.791,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2016,,78573.366,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2015,,78219.387,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2014,,77230.645,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2013,,76406.797,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2012,,75346.246,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D1,Compensation of employees,_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2011,,73445.789,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CHF,Swiss franc
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2022,,35147.596,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2021,,36214.867,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2020,,33508.499,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2019,,31733.643,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2018,,31973.682,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,30791.787,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2016,,30809.704,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2015,,31587.555,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2014,,32764.391,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2013,,32855.996,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2012,,31851.538,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D11,Wages and salaries,_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2011,,33917.98,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2022,,11334.671,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2021,,11244.768,,,,F,Free (free for publication),1,One,P,Provisional value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2020,,10591.207,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2019,,9884,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2018,,9556.997,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,9432.049,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(1.0),Annual GDP and components - income approach,I,A,Annual,CHE,Switzerland,S1,Total economy,S1,Total economy,D12,Employers' social contributions,_Z,Not applicable,C,Manufacturing,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2016,,9493.251,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
